,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
119,Oklahoma City Thunder,Memphis Grizzlies,274.62822711108214,143.15880171869463,0,78.0,94.0,3
120,Dallas Mavericks,Atlanta Hawks,313.5227870275267,449.26593058130385,1,84.0,91.0,0
121,Atlanta Hawks,Dallas Mavericks,449.26593058130385,313.5227870275267,0,91.0,84.0,4
122,Denver Nuggets,Phoenix Suns,317.96507169154654,374.4067076799961,1,106.0,81.0,4
123,Phoenix Suns,Denver Nuggets,374.4067076799961,317.96507169154654,0,81.0,106.0,2
124,Rio de Janeiro Flamengo,Orlando Magic,13.179773848863617,376.26258526542375,1,73.0,90.0,0
125,Orlando Magic,Rio de Janeiro Flamengo,376.26258526542375,13.179773848863617,0,90.0,73.0,4
126,Charlotte Hornets,New York Knicks,383.86541140823715,357.58419229825495,1,97.0,93.0,5
127,New York Knicks,Charlotte Hornets,357.58419229825495,383.86541140823715,0,93.0,97.0,4
128,New Orleans Pelicans,Sacramento Kings,238.98630636461706,326.0192269074477,1,98.0,107.0,2
129,Sacramento Kings,New Orleans Pelicans,326.0192269074477,238.98630636461706,0,107.0,98.0,5
130,Houston Rockets,Miami Heat,320.56498266694064,372.44933272194277,1,100.0,105.0,2
131,Miami Heat,Houston Rockets,372.44933272194277,320.56498266694064,0,105.0,100.0,2
132,Milwaukee Bucks,Washington Wizards,345.5605596476462,303.4782014988518,1,101.0,105.0,1
133,Washington Wizards,Milwaukee Bucks,303.4782014988518,345.5605596476462,0,105.0,101.0,4
134,Los Angeles Lakers,Golden State Warriors,329.8281611560743,346.17431582265147,1,85.0,70.0,2
135,Golden State Warriors,Los Angeles Lakers,346.17431582265147,329.8281611560743,0,70.0,85.0,2
136,Brooklyn Nets,Philadelphia 76ers,271.3230182981196,228.2744346589304,1,92.0,91.0,2
137,Philadelphia 76ers,Brooklyn Nets,228.2744346589304,271.3230182981196,0,91.0,92.0,2
138,San Antonio Spurs,Detroit Pistons,413.47940057779937,359.7416800344421,1,96.0,92.0,1
139,Detroit Pistons,San Antonio Spurs,359.7416800344421,413.47940057779937,0,92.0,96.0,2
140,Memphis Grizzlies,Minnesota Timberwolves,222.9520649986677,267.50174654153324,1,90.0,68.0,5
141,Minnesota Timberwolves,Memphis Grizzlies,267.50174654153324,222.9520649986677,0,68.0,90.0,1
142,Toronto Raptors,Cleveland Cavaliers,356.77523001314245,336.1661205527812,1,87.0,81.0,4
143,Cleveland Cavaliers,Toronto Raptors,336.1661205527812,356.77523001314245,0,81.0,87.0,0
144,Oklahoma City Thunder,Denver Nuggets,446.26944358889904,234.9976569033832,1,111.0,98.0,4
145,Denver Nuggets,Oklahoma City Thunder,234.9976569033832,446.26944358889904,0,98.0,111.0,4
146,Atlanta Hawks,Miami Heat,359.38581371921316,426.5512567479636,1,92.0,101.0,4
147,Miami Heat,Atlanta Hawks,426.5512567479636,359.38581371921316,0,101.0,92.0,3
148,Portland Trail Blazers,Utah Jazz,306.6680325398932,306.72539914410766,1,116.0,111.0,3
149,Utah Jazz,Portland Trail Blazers,306.72539914410766,306.6680325398932,0,111.0,116.0,2
150,Charlotte Hornets,Chicago Bulls,318.50976647314235,336.18585337666644,1,94.0,86.0,6
151,Chicago Bulls,Charlotte Hornets,336.18585337666644,318.50976647314235,0,86.0,94.0,2
152,Cleveland Cavaliers,Dallas Mavericks,319.02392482248035,287.6659891646428,1,103.0,97.0,1
153,Dallas Mavericks,Cleveland Cavaliers,287.6659891646428,319.02392482248035,0,97.0,103.0,0
154,Boston Celtics,Brooklyn Nets,949.4916918724589,187.3040587770113,1,111.0,105.0,4
155,Brooklyn Nets,Boston Celtics,187.3040587770113,949.4916918724589,0,105.0,111.0,2
156,Houston Rockets,New Orleans Pelicans,317.7269728041518,216.31059779328103,1,120.0,100.0,3
157,New Orleans Pelicans,Houston Rockets,216.31059779328103,317.7269728041518,0,100.0,120.0,2
158,Los Angeles Lakers,Portland Trail Blazers,434.77339775377953,375.379796769918,1,104.0,102.0,3
159,Portland Trail Blazers,Los Angeles Lakers,375.379796769918,434.77339775377953,0,102.0,104.0,3
160,Chicago Bulls,Indiana Pacers,319.84271822226367,320.35898707621857,1,103.0,94.0,3
161,Indiana Pacers,Chicago Bulls,320.35898707621857,319.84271822226367,0,94.0,103.0,4
162,Milwaukee Bucks,Minnesota Timberwolves,321.41885197367236,350.72271147523657,1,106.0,88.0,2
163,Minnesota Timberwolves,Milwaukee Bucks,350.72271147523657,321.41885197367236,0,88.0,106.0,1
164,San Antonio Spurs,Phoenix Suns,388.72952830963226,439.88076776537116,1,84.0,104.0,1
165,Phoenix Suns,San Antonio Spurs,439.88076776537116,388.72952830963226,0,104.0,84.0,3
166,Utah Jazz,Oklahoma City Thunder,347.9316971725605,358.39570745833856,1,102.0,113.0,2
167,Oklahoma City Thunder,Utah Jazz,358.39570745833856,347.9316971725605,0,113.0,102.0,5
168,LA Clippers,Golden State Warriors,372.1080051494951,323.6626565612368,1,130.0,95.0,2
169,Golden State Warriors,LA Clippers,323.6626565612368,372.1080051494951,0,95.0,130.0,2
170,Orlando Magic,New Orleans Pelicans,331.73983895722245,216.75710432382206,1,110.0,107.0,5
171,New Orleans Pelicans,Orlando Magic,216.75710432382206,331.73983895722245,0,107.0,110.0,2
172,Detroit Pistons,Charlotte Hornets,353.6037822561789,325.89886475112206,1,94.0,99.0,2
173,Charlotte Hornets,Detroit Pistons,325.89886475112206,353.6037822561789,0,99.0,94.0,7
174,Atlanta Hawks,Memphis Grizzlies,280.8285830460502,272.47877613226956,1,81.0,82.0,4
175,Memphis Grizzlies,Atlanta Hawks,272.47877613226956,280.8285830460502,0,82.0,81.0,6
176,Miami Heat,Washington Wizards,365.80167067415243,265.2678110170167,1,110.0,105.0,4
177,Washington Wizards,Miami Heat,265.2678110170167,365.80167067415243,0,105.0,110.0,4
178,Dallas Mavericks,Phoenix Suns,245.94784743396758,389.17411533944147,1,87.0,99.0,0
179,Phoenix Suns,Dallas Mavericks,389.17411533944147,245.94784743396758,0,99.0,87.0,4
180,Indiana Pacers,Charlotte Hornets,390.4356760890588,236.72022809476968,1,98.0,86.0,5
181,Charlotte Hornets,Indiana Pacers,236.72022809476968,390.4356760890588,0,86.0,98.0,7
182,Boston Celtics,New York Knicks,566.4115366639583,478.4721086522267,1,99.0,85.0,5
183,New York Knicks,Boston Celtics,478.4721086522267,566.4115366639583,0,85.0,99.0,4
184,Utah Jazz,Denver Nuggets,380.89983131376846,204.92353094728134,1,98.0,78.0,3
185,Denver Nuggets,Utah Jazz,204.92353094728134,380.89983131376846,0,78.0,98.0,4
186,Los Angeles Lakers,Golden State Warriors,325.54736639060343,446.3981612046147,1,97.0,136.0,3
187,Golden State Warriors,Los Angeles Lakers,446.3981612046147,325.54736639060343,0,136.0,97.0,3
188,LA Clippers,Portland Trail Blazers,291.8368788818072,289.0139585795651,1,115.0,109.0,3
189,Portland Trail Blazers,LA Clippers,289.0139585795651,291.8368788818072,0,109.0,115.0,3
190,Orlando Magic,Memphis Grizzlies,430.9041797793777,187.3202910390625,1,86.0,76.0,6
191,Memphis Grizzlies,Orlando Magic,187.3202910390625,430.9041797793777,0,76.0,86.0,6
192,Boston Celtics,Philadelphia 76ers,554.6476531273169,282.4636608526701,1,81.0,65.0,6
193,Philadelphia 76ers,Boston Celtics,282.4636608526701,554.6476531273169,0,65.0,81.0,2
194,Toronto Raptors,Washington Wizards,331.64272322098975,335.851315837427,1,92.0,82.0,5
195,Washington Wizards,Toronto Raptors,335.851315837427,331.64272322098975,0,82.0,92.0,4
196,Detroit Pistons,Atlanta Hawks,344.93913567450716,214.62141173565428,1,115.0,87.0,3
197,Atlanta Hawks,Detroit Pistons,214.62141173565428,344.93913567450716,0,87.0,115.0,4
198,Chicago Bulls,Dallas Mavericks,471.00258039070525,434.0123338309115,1,103.0,102.0,4
199,Dallas Mavericks,Chicago Bulls,434.0123338309115,471.00258039070525,0,102.0,103.0,0
200,New Orleans Pelicans,Miami Heat,213.5053200947844,342.498639530057,1,93.0,90.0,3
201,Miami Heat,New Orleans Pelicans,342.498639530057,213.5053200947844,0,90.0,93.0,4
202,Minnesota Timberwolves,Milwaukee Bucks,352.38591130115293,327.4525853247169,1,112.0,108.0,2
203,Milwaukee Bucks,Minnesota Timberwolves,327.4525853247169,352.38591130115293,0,108.0,112.0,2
204,San Antonio Spurs,Houston Rockets,455.36754964819,403.49617145700535,1,111.0,86.0,2
205,Houston Rockets,San Antonio Spurs,403.49617145700535,455.36754964819,0,86.0,111.0,3
206,Atlanta Hawks,Detroit Pistons,321.9066387048242,299.59464307106026,1,94.0,106.0,0
